model,accuracy,precision,recall,f1_score,dropout_p,weight_decay,checkpoint,best_val_acc,best_val_epoch,final_train_loss,final_val_loss,f1_bacterial_leaf_blight,f1_brown_spot,f1_healthy_rice_leaf,f1_leaf_blast,f1_leaf_scald,f1_narrow_brown_leaf_spot,f1_rice_hispa,f1_sheath_blight
DenseNet121-ECA,0.9600470035252644,0.9605123788965231,0.9600470035252644,0.960140191145705,0.1,0.0005,/content/outputs_all_models_focal/checkpoints/densenet121_eca_focal_dropout_l2.pt,0.9482352941176471,9,0.0012855321004104987,0.13050731301307678,0.9289617486338798,0.9737827715355806,0.9811320754716981,0.9573770491803278,0.9347826086956522,0.8813559322033898,0.9906542056074766,0.9852941176470589
MobileNetV3-Large,0.954171562867215,0.9546228951172278,0.954171562867215,0.9542431790173489,0.1,0.0005,/content/outputs_all_models_focal/checkpoints/mobilenet_v3_large_focal_dropout_l2.pt,0.9411764705882353,11,0.004343306504293368,0.1299230762089,0.9213483146067416,0.9618320610687023,0.9873417721518988,0.9545454545454546,0.9361702127659575,0.8739495798319328,0.9861751152073732,0.9705882352941176
EfficientNet-B0,0.9518213866039953,0.9524356232567479,0.9518213866039953,0.9519096315900087,0.1,0.0005,/content/outputs_all_models_focal/checkpoints/efficientnet_b0_focal_dropout_l2.pt,0.9447058823529412,15,0.005786140083135002,0.10509645204333698,0.9139784946236559,0.9541984732824428,0.9806451612903225,0.9504950495049505,0.925531914893617,0.896551724137931,0.9908256880733946,0.9708029197080292
DenseNet121 Baseline,0.9518213866039953,0.9524659348338844,0.9518213866039953,0.9519052626803913,0.1,0.0005,/content/outputs_all_models_focal/checkpoints/densenet121_baseline_focal_dropout_l2.pt,0.9435294117647058,6,0.002421090181891102,0.12722474343636456,0.9347826086956522,0.9618320610687023,0.9625,0.9385113268608414,0.9312169312169312,0.8947368421052632,0.9813084112149533,0.9777777777777777
ResNet50,0.9506462984723855,0.9509290044614732,0.9506462984723855,0.9506680979961109,0.1,0.0005,/content/outputs_all_models_focal/checkpoints/resnet50_focal_dropout_l2.pt,0.9423529411764706,7,0.0020744621945055363,0.13086120759739595,0.9130434782608695,0.9621212121212122,0.9873417721518988,0.9511400651465798,0.9032258064516129,0.8620689655172413,0.9953917050691244,0.9777777777777777
GhostNet-timm-pretrained,0.9471210340775558,0.9474567247324052,0.9471210340775558,0.9471729898042361,0.1,0.0005,/content/outputs_all_models_focal/checkpoints/ghostnet_100_timm_pretrained_focal_dropout_l2.pt,0.9223529411764706,11,0.00350582497603703,0.16958113810595343,0.9162011173184358,0.9541984732824428,0.9681528662420382,0.9511400651465798,0.91005291005291,0.8983050847457628,0.9814814814814815,0.9635036496350365
